PopularWords,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bosnian,Bulgarian,Catalan,Cebuano,Chichewa,Chinese Simplified,Chinese Traditional,Corsican,Croatian,Czech,Danish,Dutch,Esperanto,Estonian,Filipino,Finnish,French,Frisian,Galician,Georgian,German,Greek,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Korean,Kurdish (Kurmanji),Kyrgyz,Lao,Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Odia,Pashto,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Samoan,Scots Gaelic,Serbian,Sesotho,Shona,Sindhi,Sinhala,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Tatar,Telugu,Thai,Turkish,Turkmen,Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
Good morning,Goeie more,Miremengjes,???? ????,???? ?????,???? ??????,Sabah?n?z xeyir,Egun on,?????? ??????,????????,Dobro jutro,????? ????,Bon dia,Maayong buntag,M'mawa wabwino,???,???,Bonghjornu,Dobro jutro,DobrÇ r†no,God morgen,Goedemorgen,Bonan matenon,Tere hommikust,Magandang umaga,HyvÑÑ huomenta,Bonjour,Goeie moarn,Bos d°as,???? ??????????,Guten Morgen,?‡?????‡,????????,Bonjou,Barka da safiya,Aloha kakahiaka,???? ???,??? ??????,Zoo thaum sawv ntxov,J¢ reggelt,G¢?an daginn,?t?t? ?ma,Selamat pagi,Maidin mhaith,Buongiorno,?????????,Sugeng enjang,????????,??????? ???,???????????,Mwaramutse,?? ??,Beyanå ba?,?????? ???,???????????????????,Bonum mane,Labr?t,Labas rytas,Gudde Moien,????? ????,Salama,Selamat Pagi,?????????,Bongu,ata pai,??? ??????,???????? ????,??????????????????,??? - ??????,God morgen,??? ????,???? ?? ????,??? ????,Dzie? dobry,Bom Dia,???? ????,Buna dimineata,?????? ????,oa mai le ataeao,Madainn mhath,????? ?????,Khotsong,Mangwanani akanaka,??? ?? ????,??? ???????,DobrÇ r†no,Dobro jutro,Subax wanaagsan,Buenos d°as,Wilujeng Çnjing,Habari za asubuhi,God morgon,???? ?? ????,???? ???????,?????? ????,???????,?????????????,GÅnayd?n,Ertiri?iz ha?yrly bolsun!,??????? ?????,??? ????,??????? ???????!,Xayrli tong,ChÖo bu?i s†ng,bore da,Mholo ngalentsasa,??? ?????,E kaaro,Sawubona
Good night,Goeie nag,Naten e mire,???? ???,???? ??? ???,???? ?????,Salam,Good night,????????,??? ??????,Laku noc,???? ???,Bona nit,Maayong gabii,Usiku wabwino,??,??,Bona notte,Laku no?,Dobrou noc,Godnat,Goede nacht,Bonan nokton,Head îîd,Magandang gabi,HyvÑÑ yîtÑ,Bonne nuit,Lekker sliepe,Boas noites,???? ??????????,Gute Nacht,?????????,??? ??????,Bïn nwi,Good dare,Aloha p?,???? ???,??? ??????,Zoo hmo ntuj,J¢ Çjszak†t,G¢?a n¢tt,Ka chifoo,Selamat malam,O°che mhaith,Buona notte,????,Sugeng dalu,??? ??????,??????? ???,?????????????,Ijoro ryiza,??? ????,?ev ba?,?????? ???,????????????????,bonum nocte,Ar labunakti,Labos nakties,Gutt Nuecht,????? ???,Tafandria mandry,Selamat Malam,??? ??????,Il-lejl it-tajjeb,po pai,??? ??????,???? ????,????????????,??? ??????,God natt,?????????,?? ???,?? ????,Dobranoc,Boa noite,???? ???,Noapte buna,?????? ????,manuia le po,Oidhche mhath,???? ???,Robala hantle,Manheru akanaka,??? ?? ????,??? ?????????,Dobr£ noc,Lahko no?,habeen wanaagsan,Buenas noches,Wilujeng wengi,Usiku mwema,Godnatt,???? ???,???? ????,????? ???,??? ??????,????????????,?yi geceler,GijÑ? rahat bolsun!,??????????,?? ????,??????? ???!,Xayrli tun,Ch£c ng? ngon,Nos da,Busuku benzolo,? ???? ????,Kasun lay? o,Ulale kahle
Happy New Year,Gelukkige Nuwe Jaar,Gâzuar Vitin e Ri,???? ??? ???,??? ????? ?????,????????? ??? ????,Yeni iliniz mÅbar?k,Urte berri on,? ????? ?????,??? ?? ????,Sretna Nova godina,??????? ???? ??????,Bon any nou,Malipayong Bag-ong Tuig,Chaka chabwino chatsopano,????,????,Bon annu,Sretna Nova godina,??astn? nov? rok,Godt nytÜr,Gelukkig nieuwjaar,Feli?an Novjaron,Head uut aastat,Maligayang Bagong Taon,HyvÑÑ uutta vuotta,Bonne annÇe,Lokkich nijjier,Feliz aninovo,???????? ???? ????,Frohes neues Jahr,??Á???Â???? Á? ??? ?Á??,??? ??????,Happy New Year,Barka da sabon shekara,Hau?oli makahiki hou,??? ????,?????? ???? ???,Nyob Zoo Xyoo Tshiab,Boldog £j Çvet,Gle?ilegt n?tt †r,Ezi af? ?h?r?,Selamat Tahun Baru,Athbhliain faoi mhaise daoibh,Felice anno nuovo,???????????????,Happy New Year,???? ????? ??????,???? ??? ????? ??????,?????????????????,Umwaka mushya muhire,?? ? ?? ????,Sersala we påroz be,???? ??????? ?????,?????????????????,New Anno Felix,Laim?gu Jauno gadu,Laiming? Nauj?j? met?,SchÇint Neit Joer,?????? ???? ??????,Tratry ny taona,Selamat tahun Baru,???????????????,Is-sena it-tajba,Tau Hou hari,???? ????????? ????????,???? ?????? ???? ??????,?????????????????????,???? ?????? ????????,Godt nytt Ür,??????? ????????,??? ??? ?? ????? ??,??? ?? ?????,Szcz??liwego Nowego Roku,Feliz Ano Novo,??? ??? ??????,An Nou Fericit,? ????? ?????,Manuia le Tausaga Fou,Bliadhna Mhath ?r,?????? ???? ??????,Mahlohonolo a selemo se secha,Goredzva Rakanaka,???? ??? ?????,??? ?? ?????,??astn? nov? rok,Sre?no novo leto,Happy New Year,Feliz a§o nuevo,Wilujeng taun Çnggal,Heri ya mwaka mpya,Gott nytt Ür,???? ??? ???????,?????????? ?????????????,??? ?? ?????,???? ??????? ????????????,????????????,Mutlu Y?llar,TÑze ?yly?yz gutly bolsun,????????? ?????? ????,??? ??? ????? ??,???? ????????? ??????? ??????,Yangi yilingiz bilan,Ch£c m?ng n?m m?i,Blwyddyn Newydd Dda,Nyakhomtsha,? ??? ???????? ???,"E ku odun, eku iyedun",Jabulela unyaka omusha
Happy birthday,Gelukkige verjaarsdag,Gâzuar ditâlindjen,???? ???,??? ???? ????,??????? ?????????,Ad gÅnÅn mÅbar?k,Zorionak,? ???? ??????????,??? ???????,Sretan ro?endan,?????? ?????? ???,Per molts anys,malipayon nga adlaw nga natawhan,Tsiku labwino lobadwa,????,????,Felice Anniversariu,Sretan ro?endan,V?echno nejlep?° k narozenin†m,Tillykke med f?dselsdagen,Fijne verjaardag,Feli?an naski?tagon,Palju ?nne sÅnnipÑevaks,Maligayang kaarawan,HyvÑÑ syntymÑpÑivÑÑ,Bon anniversaire,Lokkige jierdei,Feliz Aniversario,??????? ????????? ????,Alles Gute zum Geburtstag,?‡????Ó?‡ ?Ó?????‡,???????? ?? ????????,Bïn Fät,Barka da ranar haihuwa,Hau?oli L? H?nau,??? ????? ???,??????? ?? ??????????,Zoo siab hnub yug,Boldog szÅletÇsnapot,Til hamingju me? afmëli?,Ezi ncheta ?m?m?,Selamat ulang tahun,L† breithe shona duit,Buon compleanno,??????????????,Sugeng tanggap warsa,???????? ?????????,????? ????? ????? ??????,?????????????????,Isabukuru nziza,?? ??,Rojbñna te påroz be,??????? ??????? ????? ??????????,????????????????,Felix natalis,Daudz laimes dzim?anas dien?,Su gimtadieniu,Alles Guddes fir de Gebuertsdag,?????? ????????,Tratry ny tsingerintaona nahaterahana,Selamat Hari lahir,?????????????,happy birthday,huritau hari,???????????? ????????,?????? ?????? ????,??????????????????????,?????????,Gratulerer med dagen,???????? ????????,????? ?? ???????,????? ?????,Wszystkiego najlepszego,Feliz Anivers†rio,?????? ??????,La multi ani,? ???? ??????????,Manuia le aso fanau,Co-lÖ-breith math,?????? ????????,Letsatsi le monate la tsoalo,Bhavhadhe rinofadza,??????? ?????,??? ?????????? ????,??astnÇ narodeniny,Vse najbolj?e,Dhalasho Wacan,Feliz cumplea§os,Wilujeung tepang taun,Furaha ya kuzaliwa,Grattis pÜ fîdelsedagen,?????? ???????,?????????? ?????????????,????? ??? ?????,??????????? ????????????,???????????????,Do?um gÅnÅn kutlu olsun,Doglan gÅnÅ? bilen,? ???? ??????????,?????? ?????,???????? ????????? ???????,Tug'ilgan kuning bilan,Ch£c m?ng sinh nh?t,Penblwydd hapus,Usuku lokuzalwa olumnandi,??? ???? ??????????,O ku ojo ibi,Usuku olumnandi lokuzalwa
I love you,Ek het jou lief,Unâ tâ dua,??????,????,?? ?????? ?? ???,M?n s?ni sevir?m,maite zaitut,? ???? ?????,??? ?????? ????????,volim te,?????? ??,T'estimo,gihigugma TIKA,ndimakukondani,???,???,ti tengu caru,Volim te,Miluji t?,jeg elsker dig,ik hou van je,mi amas vin,Ma armastan sind,Mahal kita,MinÑ rakastan sinua,je t'aime,ik hÉld fan dy,QuÇrote,?????????,ich liebe dich,‰Ó ‡?‡„?,??? ??? ????? ???? ??,Mwen renmen ou,Ina son ka,aloha wau i? 'oe,??? ???? ????,??? ????? ????? ???? ???,Kuv hlub koj,Szeretlek,Çg elska ?ig,a h?r? m g? n'anya,Aku cinta kamu,Is bre† liom t£,ti amo,???????????????,Aku tresna sampeyan,???? ????????? ????????????????,??? ???? ????? ???????,??????????????????,Ndagukunda,???,ez ji te hez dikim,??? ???? ?????,??????????????,te amo,Es m?lu Tevi,A? tave myliu,Ech hunn dech gÑr,?? ?????,tiako ianao,saya sayang awak,??? ?????? ??????????????,I love you,aroha ana ahau ki a koe,?? ???????? ????? ????,?? ???? ???????,??????????????,? ??????? ???? ?????,Jeg elsker deg,??? ????? ?????,?? ??? ??? ???? ???,????? ????,kocham Ci?,eu te amo,??? ??????? ???? ???? ???,te iubesc,? ????? ????,oute alofa ia oe,tha gaol agam ort,????? ??,kea u rata,Ndinokuda,??? ?? ?? ??? ???? ???,?? ???? ??????,?£bim ?a,Ljubim te,waan ku jeclahay,te amo,abdi bogoh ka anjeun,nakupenda,jag Ñlskar dig,??? ???? ???? ???????,???? ????? ?????????????,??? ???? ??????,???? ?????? ????????????????,????????,seni seviyorum,men seni sî??Ñrin,? ???? ?????,??? ?? ?? ???? ???? ???,??? ????? ????? ???????,Men seni Sevaman,Anh yàu em,Rwy'n dy garu di,Ndiyakuthandana,??? ??? ??? ???,mo nif? r?,Ngiyakuthanda
I miss you,Ek mis jou,mâ Mungon,????,??? ????? ??,??????? ?? ???,s?nin ÅáÅn dar?x?ram,Faltan botatzen zaitut,? ????? ?? ????,???? ?????? ??? ????,Nedostaje? mi,??????? ??,Et trobo a faltar,gimingaw ko nimo,ndakusowa,???,???,mi manchi,Nedostaje? mi,chyb°? mi,jeg savner dig,ik mis je,vi mankas al mi,ma igatsen sind,Miss na kita,Kaipaan sinua,Tu me manques,ik mis dy,Extr†§ote,?????????,ich vermisse dich,??? ?Ó?„Ó??,??? ???? ??? ???? ???,ou manke m,I miss you,ha?i wau i? 'oe,??? ?????? ????,???? ???? ??? ??? ??,Kuv nco koj,hi†nyzol,Çg sakna ?°n,a na m at? ?che g?,aku merindukanmu,air°m uaim th£,mi manchi,?????????????,aku kangen kowe,???? ??????????,??? ???? ????????,??????????????,ndagukumbuye,? ??? ????,ez båra te dikim,??? ???? ????????,??????????????????,te desidero,man tevis pietr?kst,a? tav?s pasiilgau,ech vermâssen dech,?? ??????????,malahelo anao aho,saya rindu awak,???? ??????? ??????? ????????????? ?????,nimmissjak,mahue ahau a koutou,??? ???? ???? ????,?? ?????? ????? ?????,????????????????????,? ???????? ??????,Jeg savner deg,??? ????? ??? ????,??? ??????,??? ???? ??? ???,t?skni? za Tob?,Eu sinto sua falta,????? ???? ??? ????? ??,Mi e dor de tine,? ?????? ?? ????,ua ou misia oe,tha mi gad ionndrainn,?????????? ??,ke u hopotse,ndinokusuwa,????? ??? ?? ???,?? ???? ???????,ch?ba? mi,pogre?am te,Waan kuu xiisay,Te echo de menos,abdi sono ka anjeun,ninakukosa rohoni,jag saknar dig,??? ???? ?????? ?????,???? ??????? ???,??????? ????,???? ?????? ???? ???????????,????????????,seni îzledim,Seni gîresim gel?Ñr,? ????? ?? ?????,??? ????? ??? ????,???? ????????,sizni sog'indim,Tìi nh? b?n,Dwi yn methu ti,ndiyakukhumbula,??? ???? ??? ???? ???,Aro re so mi,ngikukhumbulile
Merry Christmas,Geseânde Kersfees,Gâzuar Krishtlindjet,???? ??,??? ????? ????,????????? ????? ??????,Milad bayram?n?z mÅbar?k,Eguberri on,? ????????,??? ??????,sretan bo?i?,?????? ??????,Bon Nadal,maayong Pasko,Khrisimasi yabwino,?????,?????,bon Natale,sretan Bo?i?,veselÇ V†noce,glëdelig jul,vrolijk kerstfeest,feli?an Kristnaskon,hÑid j?ule,Maligayang Pasko,hyvÑÑ joulua,joyeux Noâl,noflike krystdagen,feliz Nadal,????? ????????,Frîhliche Weihnachten,?‡?? ???ÂÁ???Ó??‡,???? ???????,Jwaye Nwel,Merry Kirsimeti,mele Kalikimaka,?? ???? ???,??????? ?? ????,Zoo siab heev Christmas,boldog Kar†csonyt,Gle?ileg j¢l,ezi ekeresimesi,Selamat Natal,Nollaig Shona,buon Natale,????????,Merry Christmas,?????? ?????????,????????? ????? ??????,???????????????????????,Noheri nziza,?? ?????,Kiråstmas piroz be,????????? ??????? ?????,Merry ????????????,felicem natalem Christi,Priec?gus Ziemassv?tkus,linksm? Kal?d?,SchÇi Chrâschtdeeg,?????? ?????,tratry ny krismasy,Selamat Hari Natal,???????????? ?????????,il-Milied it-tajjeb,Merry Christmas,???? ???????,Merry Christmas,?????????????????????????????,???????? ???????,god jul,??? ???? ??????? ????????,????? ?? ?????,?????? ?????,Weso?ych ?wi?t,feliz Natal,???? ??????,Craciun Fericit,??????????? ?????????,manuia le Kirisimasi,Nollaig Chridheil,?????? ?????,kereseme e monate,Kisimusi yakanaka,???? ?????,??? ???????,veselÇ Vianoce,vesel bo?i?,yuul,Feliz Navidad,Wilujeng Natal,Krismasi Njema,god Jul,??????? ??? ???????,?????? ???????????,?????? ?????,????????? ????????????,????????????????????,mutlu Noeller,TÑze ?yl gutly bolsun,????????? ??????,???? ?????,????????? ???????????? ??????? ??????,Rojdestvo bilan,Gi†ng sinh vui v?,Nadolig Llawen,Ikrismesi emnandi,??????? ????,ikini ?dun keresimesi,Jabulela Ukhisimusi
Thank you,Dankie,Faleminderit,???????,????,????????????????,Äox sa? ol,Eskerrik asko,??????,???????,Hvala ti,?????????,GrÖcies,Salamat,Zikomo,??,??,Grazie,Hvala ti,D?kuji,Tak,Dank je,Dankon,AitÑh,Salamat,Kiitos,Je vous remercie,Dankewol,Grazas,????????,Vielen Dank,???‡??ÂÁ?,????,Mäsi,na gode,Mahalo,????,???????,Ua tsaug rau koj,Kîszînîm,?akka ?Çr fyrir,Daal?,Terima kasih,Go raibh maith agat,Grazie,???????????,Matur nuwun,???????,?????? ?????,?????,Murakoze,?????,Spas dikim,?????? ????,??????,Gratias tibi,Paldies,A?i?,Merci,?? ??????????,Misaotra anao,Terima kasih,?????,Grazzi,Mauruuru koe,???????,?????????,???????????????,???????,Takk skal du ha,???????,????,??????,Dzi?kuj? Ci,Obrigado,?????? ??????,Mul?umesc,???????,faafetai,Tapadh leat,????? ???,kea leboha,Ndatenda,????? ?? ???????,??? ????????,?akujem,Hvala vam,Mahadsanid,Gracias,hatur nuhun,Asante,Tack,?????,?????,??????,??????????,????????,te?ekkÅr ederim,Sagbol,?????,?? ?? ?????,?????? ?????,rahmat,C?m ?n b?n,Diolch,Enkosi,?????,e dupe,Ngiyabonga
baby,baba,bebe,???,???,?????,kîrp?,haurra,?????,??????,beba,????,nad¢,bata,mwana,??,??,ciucciu,dijete,d°t?,baby,baby,bebo,laps,sanggol,vauva,bÇbÇ,poppe,bebÇ,??????,Baby,????,????,ti bebe,baby,p?p?,???????,?????,tus me nyuam,baba,Elskan,nwa,bayi,leanbh,bambino,????,baby,?????,???????,????,umwana,??,bebek,????,????????,infans,mazulis,k?dikis,Puppelchen,????,zazakely,bayi,????,tarbija,tamaiti,???,??????,????,?????,baby,????,?????,?????,dziecko,bebà,????,bebelus,?????,pepe,pÖisde,????,lesea,mucheche,???,????,die?a,dojen?ek,ilmaha,bebÇ,orok,mtoto,bebis,?????,???????,?????,????,????,bebek,áaga,??????,???,?????,chaqaloq,??a bÇ,babi,umntwana,?????,baby,ingane
bear,dra,duroj,??,?????,????,ay?,bear,?????,?????,snositi,?????,suportar,-an,kudzachitira,?,?,orsu,snositi,medv?d,bj?rn,beer,toleri,kandma,madala,karhu,ours,bear,soportar,?????,BÑr,‡????Î‡,????,pote,kai,pea,???,????,dais,medve,Bera,ibu,beruang,iompr¢idh,orso,??,metokake,??????,??,??????,idubu,?,hirá,???,?????????,Ursa,paciest,tur?ti,droen,?????,hitondra,menanggung,????,i?orru,mau,???,?????,?????,???,Bj?rn,????,????,???,Nied?wied?,Urso,????,urs,???????,urosa,mathan,??????,jara,bere,?????? ???,????,medve?,nosi,dhali,oso,biruang,kubeba,Bjîrn,?? ?????,?????,??,??????????,???,ay?,a?y,?????,??????,?????,ayiq,ch?u,arth,ibhere,???,ró,athwale
